# project_name=keliya solverstep_min=20 epsilon_m=1e-06
entity_type,entity_id,flips_sf,flips_us,flips_gw,flips_stage
riv,252,0,0,0,5
riv,253,0,0,0,5
riv,254,0,0,0,5
riv,255,0,0,0,0
riv,256,0,0,0,0
riv,257,0,0,0,0
riv,258,0,0,0,0
riv,259,0,0,0,0
riv,260,0,0,0,3
riv,261,0,0,0,0
riv,262,0,0,0,0
riv,263,0,0,0,0
riv,264,0,0,0,0
riv,265,0,0,0,11
riv,266,0,0,0,9
riv,267,0,0,0,11
riv,268,0,0,0,7
riv,269,0,0,0,7
riv,270,0,0,0,13
riv,271,0,0,0,11
riv,272,0,0,0,11
riv,273,0,0,0,11
riv,274,0,0,0,11
riv,275,0,0,0,11
riv,276,0,0,0,0
riv,277,0,0,0,2
riv,278,0,0,0,4
riv,279,0,0,0,4
riv,280,0,0,0,4
riv,281,0,0,0,3
riv,282,0,0,0,15
riv,283,0,0,0,17
riv,284,0,0,0,15
riv,285,0,0,0,0
riv,286,0,0,0,0
riv,287,0,0,0,0
riv,288,0,0,0,0
riv,289,0,0,0,0
riv,290,0,0,0,0
riv,291,0,0,0,1
riv,292,0,0,0,5
riv,293,0,0,0,3
riv,294,0,0,0,3
riv,295,0,0,0,5
riv,296,0,0,0,5
riv,297,0,0,0,7
riv,298,0,0,0,11
riv,299,0,0,0,11
riv,300,0,0,0,11
riv,301,0,0,0,11
riv,302,0,0,0,11
riv,303,0,0,0,11
riv,304,0,0,0,1
riv,305,0,0,0,5
riv,306,0,0,0,5
riv,307,0,0,0,15
riv,308,0,0,0,15
riv,309,0,0,0,15
riv,310,0,0,0,13
riv,311,0,0,0,11
riv,312,0,0,0,15
riv,313,0,0,0,13
riv,314,0,0,0,13
riv,315,0,0,0,13
riv,316,0,0,0,13
riv,317,0,0,0,17
riv,318,0,0,0,17
riv,319,0,0,0,17
riv,320,0,0,0,21
riv,321,0,0,0,19
riv,322,0,0,0,23
riv,323,0,0,0,15
riv,324,0,0,0,11
riv,325,0,0,0,11
riv,326,0,0,0,13
riv,327,0,0,0,11
riv,328,0,0,0,9
riv,329,0,0,0,19
riv,330,0,0,0,18
riv,331,0,0,0,23
riv,332,0,0,0,17
riv,333,0,0,0,21
